Id,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
5997,Bürobedarf,Ablage & Organisation,Adressbücher,,,,
6885,Bürobedarf,Ablage & Organisation,Akten- & Schreibmappen,,,,
925,Bürobedarf,Ablage & Organisation,Aktenaufbewahrungsboxen,,,,
6884,Bürobedarf,Ablage & Organisation,Aktenhüllen und Klemmhefter,,,,
4303,Bürobedarf,Ablage & Organisation,Bindesysteme,Aktenordner,,,
4212,Bürobedarf,Ablage & Organisation,Bindesysteme,Aktenordnerzubehör,Einbandringe,,
2139,Bürobedarf,Ablage & Organisation,Bindesysteme,Aktenordnerzubehör,Klarsichthüllen,,
4183,Bürobedarf,Ablage & Organisation,Bindesysteme,Aktenordnerzubehör,Registerblätter,,
4086,Bürobedarf,Ablage & Organisation,Bindesysteme,Aktenordnerzubehör,,,
7080,Bürobedarf,Ablage & Organisation,Bindesysteme,Bindegeräte,,,
4182,Bürobedarf,Ablage & Organisation,Bindesysteme,Binderücken,,,
4312,Bürobedarf,Ablage & Organisation,Bindesysteme,,,,
926,Bürobedarf,Ablage & Organisation,CD-/DVD-Ordnungssysteme,,,,
3062,Bürobedarf,Ablage & Organisation,Federmappen,,,,
928,Bürobedarf,Ablage & Organisation,Geldkassetten,,,,
s5629,Bürobedarf,Ablage & Organisation,"Kalender, Organizer & Zeitplaner",Agenda,,,
s5626,Bürobedarf,Ablage & Organisation,"Kalender, Organizer & Zeitplaner",Ewiger Kalender,,,
s5627,Bürobedarf,Ablage & Organisation,"Kalender, Organizer & Zeitplaner",Jahreskalender,,,
927,Bürobedarf,Ablage & Organisation,"Kalender, Organizer & Zeitplaner",,,,
5531,Bürobedarf,Ablage & Organisation,Karteikästen,,,,
6177,Bürobedarf,Ablage & Organisation,Kartenhüllen,,,,
s5634,Bürobedarf,Ablage & Organisation,Ordner,,,,
5070,Bürobedarf,Ablage & Organisation,Postkartenorganizer,,,,
6962,Bürobedarf,Ablage & Organisation,Postsortiersysteme,,,,
930,Bürobedarf,Ablage & Organisation,Register- & Hängemappen,,,,
6779,Bürobedarf,Ablage & Organisation,Rezeptkästen,,,,
939,Bürobedarf,Ablage & Organisation,Schreibtischorganizer,,,,
6190,Bürobedarf,Ablage & Organisation,Visitenkartenbücher,,,,
6171,Bürobedarf,Ablage & Organisation,Visitenkarten-Ständer,,,,
923,Bürobedarf,Ablage & Organisation,,,,,
6176,Bürobedarf,Bücherzubehör,Bucheinbände,,,,
6175,Bürobedarf,Bücherzubehör,Buchständer & -stützen,,,,
4941,Bürobedarf,Bücherzubehör,Leselampen,,,,
93,Bürobedarf,Bücherzubehör,Lesezeichen,,,,
6174,Bürobedarf,Bücherzubehör,,,,,
4341,Bürobedarf,Büroarbeitsmittel,Bürostempel,,,,
943,Bürobedarf,Büroarbeitsmittel,Bleistiftspitzer,,,,
505830,Bürobedarf,Büroarbeitsmittel,Brieföffner,,,,
947,Bürobedarf,Büroarbeitsmittel,Heftgeräte,,,,
4499,Bürobedarf,Büroarbeitsmittel,Heftklammernzieher,,,,
503746,Bürobedarf,Büroarbeitsmittel,Klebebandabroller,,,,
